,Lot_Frontage,Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Exter_Cond,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Longitude,Latitude,Sale_Price
1207,60,10200,OneFam,One_Story,Very_Good,1940,Typical,672,672,0,1,0,2,1,0,-93.660673,42.033692,108000
1448,34,4058,Twnhs,SFoyer,Average,1998,Typical,723,767,0,1,0,1,1,0,-93.624798,42.05467,133000
1960,50,13128,OneFam,Two_Story,Average,2005,Typical,1074,1074,990,2,1,4,1,1,-93.635935,42.062802,250000
848,21,1526,Twnhs,SFoyer,Very_Good,1970,Good,630,630,0,1,0,1,1,0,-93.603479,41.992185,86000
2300,95,13450,OneFam,Two_Story,Average,2002,Typical,916,920,941,2,1,3,1,0,-93.68923,42.01686,200000
1092,70,9247,OneFam,Two_Story,Above_Average,1962,Typical,858,858,858,1,1,4,1,1,-93.607422,42.040021,171000
1863,63,4000,OneFam,Two_Story,Very_Good,1930,Typical,531,567,531,1,0,2,1,1,-93.644544,42.017103,148500
14,0,6820,Twnhs,One_Story,Average,1985,Typical,1488,1502,0,1,1,1,1,0,-93.632913,42.059169,212000
946,93,10261,OneFam,Two_Story,Average,2000,Typical,936,962,830,2,1,3,1,1,-93.641331,42.057986,186500
723,65,9757,OneFam,One_Story,Good,1994,Good,990,990,0,1,0,3,1,0,-93.692135,42.021176,143000
2213,60,3600,OneFam,Two_Story,Good,1910,Typical,684,684,684,1,0,3,1,0,-93.6127958,42.0281148,114504
2140,69,14850,OneFam,One_Story,Average,1957,Typical,1092,1092,0,1,0,2,1,1,-93.613296,42.043626,141000
1329,74,11988,OneFam,Two_Story,Good,1934,Typical,715,849,811,1,1,3,1,1,-93.641405,42.018443,188700
496,34,2998,Twnhs,Two_Story,Average,2000,Typical,756,756,756,2,1,2,1,0,-93.64566,42.046144,180000
1980,79,10240,OneFam,One_Story,Above_Average,1980,Good,1686,1686,0,2,0,3,1,1,-93.636044,42.053418,207500
2218,63,4761,OneFam,One_and_Half_Unf,Fair,1918,Fair,1020,1020,0,1,0,2,1,0,-93.606869,42.02297,64500
609,90,9900,OneFam,Two_Story,Very_Good,1910,Typical,504,764,700,2,0,3,1,0,-93.615599,42.032108,129000
1632,0,12155,OneFam,One_Story,Fair,1970,Typical,1657,1657,0,2,0,3,1,1,-93.610875,42.042728,163500
938,43,3182,Twnhs,One_Story,Average,2005,Typical,1346,1504,0,2,0,2,1,1,-93.6424399,42.062285,191000
2273,78,11679,OneFam,SLvl,Average,1962,Typical,1776,1560,0,2,0,3,1,1,-93.660227,42.026458,182000
630,0,3300,OneFam,One_Story,Fair,1910,Typical,624,816,0,1,0,2,1,1,-93.6148612,42.0276972,58500
1835,65,8769,OneFam,One_Story,Average,2005,Typical,1169,1190,0,2,0,2,1,0,-93.684625,42.013544,173500
1655,66,8300,OneFam,One_Story,Above_Average,1968,Typical,952,952,0,1,0,3,1,0,-93.610561,42.040146,128500
722,82,12464,OneFam,One_Story,Average,1996,Good,1040,1040,0,1,0,3,1,0,-93.691883,42.021171,152000
2347,60,8088,OneFam,One_Story,Fair,1922,Typical,498,498,0,1,0,1,1,0,-93.659043,42.021559,35000
35,79,14122,OneFam,One_Story,Average,2005,Typical,1822,1822,0,2,0,3,1,1,-93.652336,42.060879,259000
795,51,6171,OneFam,One_and_Half_Fin,Above_Average,1925,Typical,976,1160,448,2,1,3,1,1,-93.648429,42.017835,137450
646,60,6911,OneFam,One_Story,Average,1924,Typical,1145,1301,0,1,0,2,1,0,-93.624689,42.031395,100000
551,0,12285,OneFam,One_Story,Above_Average,1960,Typical,1329,1329,0,1,1,3,1,2,-93.61488,42.043991,176000
2349,0,7082,TwoFmCon,Two_Story,Very_Good,1916,Typical,686,948,980,2,0,5,2,0,-93.648562,42.020286,160000
1241,75,9525,OneFam,One_Story,Above_Average,1995,Typical,1099,1099,0,1,1,3,1,0,-93.691213,42.01915,144000
2153,50,7500,OneFam,One_and_Half_Fin,Above_Average,1947,Typical,784,900,412,1,1,3,1,0,-93.617182,42.034617,127000
1242,57,9245,OneFam,One_Story,Average,1994,Typical,990,990,0,1,0,3,1,0,-93.691612,42.019153,145000
1582,79,10289,OneFam,One_Story,Good,1965,Typical,1073,1073,0,1,1,3,1,0,-93.625898,42.046504,156000
1575,78,10530,OneFam,Two_Story,Above_Average,1993,Typical,1148,1091,984,2,1,3,1,1,-93.63687,42.043005,255000
1591,74,7450,OneFam,One_Story,Average,1956,Typical,894,1074,0,1,0,2,1,1,-93.621344,42.042485,124000
2081,0,2998,Twnhs,Two_Story,Average,2000,Typical,756,768,756,2,1,2,1,0,-93.645617,42.046145,166000
74,88,11782,OneFam,SFoyer,Good,1961,Typical,1109,1155,0,1,0,3,1,0,-93.673669,42.034793,148000
369,110,14257,OneFam,Two_Story,Average,2007,Typical,1776,1794,978,3,1,4,1,3,-93.6562749,42.063304,462000
1640,71,8540,OneFam,One_Story,Very_Good,1956,Good,925,925,0,1,0,3,1,0,-93.612414,42.039482,127000
855,0,9101,OneFam,SFoyer,Above_Average,1978,Good,1097,1110,0,1,0,1,1,1,-93.604928,41.988776,165500
29,53,4043,Twnhs,One_Story,Average,1977,Typical,1069,1069,0,2,0,2,1,1,-93.627232,42.049672,127500
1337,0,14778,OneFam,One_Story,Good,1954,Typical,1296,1640,0,1,0,3,1,1,-93.640293,42.012488,224000
272,74,9620,OneFam,SLvl,Good,1977,Typical,1243,1285,0,2,0,3,1,1,-93.602823,41.997052,190000
1509,49,15256,OneFam,One_Story,Average,2007,Typical,1485,1464,0,2,0,3,1,0,-93.64176,42.054177,282922
717,64,7314,OneFam,One_Story,Average,2007,Typical,1232,1232,0,2,0,2,1,0,-93.690111,42.024327,194500
2020,0,3196,Twnhs,One_Story,Average,2003,Typical,1273,1456,0,2,0,2,1,1,-93.640287,42.063329,215000
760,70,8750,OneFam,Two_Story,Average,1996,Typical,880,909,807,2,1,2,1,1,-93.680782,42.017856,191000
1169,51,6120,OneFam,Two_Story,Average,1923,Typical,1100,1226,676,2,0,4,1,0,-93.620392,42.031467,123500
281,89,13214,OneFam,One_Story,Average,2008,Typical,2002,2018,0,2,0,3,1,1,-93.652495,41.992989,378500
1262,0,10316,OneFam,Two_Story,Average,2000,Typical,992,992,873,2,1,3,1,1,-93.686189,42.018354,235000
1791,0,12205,OneFam,Two_Story,Very_Good,1966,Typical,832,976,1111,2,1,5,1,0,-93.6825099,42.024734,187500
82,25,4835,Twnhs,One_Story,Average,2004,Typical,1488,1488,0,2,0,2,1,1,-93.647988,42.047452,260000
1506,88,11762,OneFam,Two_Story,Average,1992,Typical,1105,1105,1097,2,1,4,1,1,-93.652946,42.049509,263000
395,80,10307,Twnhs,One_Story,Average,2007,Typical,1350,1358,0,2,0,2,1,1,-93.650258,42.058339,212500
2132,88,14200,OneFam,Two_Story,Above_Average,1966,Typical,924,1216,941,2,1,4,1,2,-93.615629,42.048528,226000
2297,78,10264,OneFam,One_Story,Average,1999,Typical,1588,1588,0,2,0,3,1,0,-93.690215,42.017631,214000
1192,62,10106,TwoFmCon,One_and_Half_Fin,Good,1940,Good,644,808,547,2,0,4,2,0,-93.658395,42.02393,127500
34,90,11520,OneFam,One_Story,Average,2005,Typical,1698,1698,0,2,0,3,1,1,-93.65332,42.0608079,275000
385,107,11362,OneFam,One_Story,Average,2004,Typical,1836,1836,0,2,0,3,1,1,-93.652724,42.060178,280000
1969,0,14762,OneFam,Two_Story,Above_Average,1948,Typical,0,1547,720,2,0,2,1,1,-93.6220148,42.0593867,169000
440,90,9900,OneFam,Two_Story,Average,1993,Typical,1347,1372,1274,2,1,4,1,1,-93.654048,42.049701,260000
2381,70,9116,OneFam,One_Story,Average,2001,Typical,1491,1491,0,2,0,3,1,0,-93.603671,41.995987,209000
71,70,8400,OneFam,Two_Story,Above_Average,1980,Typical,650,888,676,2,1,3,1,1,-93.685029,42.034678,171000
1001,0,9205,OneFam,Two_Story,Average,1990,Typical,930,1364,1319,2,1,4,1,2,-93.653482,42.047666,290000
892,85,14450,OneFam,One_Story,Average,1979,Typical,1782,1782,0,2,0,3,1,1,-93.636505,42.054503,220000
1756,0,9000,OneFam,One_Story,Good,1945,Typical,0,998,0,1,0,3,1,0,-93.659355,42.032699,89500
1855,70,11767,OneFam,Two_Story,Good,1910,Typical,560,796,550,1,1,2,1,0,-93.664821,42.01965,112000
1490,62,7917,OneFam,Two_Story,Average,1999,Typical,953,953,694,2,1,3,1,1,-93.641279,42.057981,175000
470,63,13072,OneFam,One_Story,Average,2004,Typical,1114,1114,0,1,1,3,1,0,-93.691868,42.037923,159000
2385,0,8239,Twnhs,One_Story,Average,1986,Typical,0,1295,0,2,0,2,1,0,-93.645586,42.000966,230000
495,34,3230,Twnhs,Two_Story,Average,1999,Typical,729,742,729,2,1,3,1,0,-93.644205,42.047101,172500
2003,24,2280,Twnhs,One_Story,Good,1976,Typical,1055,1055,0,2,0,2,1,0,-93.624767,42.050705,137500
422,0,8795,OneFam,Two_Story,Average,2000,Typical,952,980,1276,2,1,4,1,1,-93.642813,42.05859,236000
70,81,9672,OneFam,One_Story,Average,1984,Typical,1040,1097,0,2,0,3,1,0,-93.685028,42.034555,152000
251,67,4853,OneFam,One_Story,Above_Average,1924,Typical,1107,1296,0,2,0,2,1,1,-93.655762,42.022674,104000
279,80,11316,OneFam,Two_Story,Average,2002,Typical,817,824,1070,2,1,4,1,1,-93.647645,41.995489,214900
391,70,9658,OneFam,One_Story,Average,2006,Typical,1598,1606,0,2,0,3,1,1,-93.65048,42.0592,255900
1043,77,8593,OneFam,One_Story,Above_Average,1957,Typical,907,907,0,1,0,3,1,0,-93.622673,42.044773,109008
1275,37,4435,Twnhs,One_Story,Average,2003,Typical,848,848,0,1,0,1,1,0,-93.681121,42.016277,136500
244,60,10044,OneFam,One_Story,Above_Average,1968,Typical,1196,1196,0,1,0,3,1,0,-93.677545,42.020635,144000
974,85,10625,OneFam,One_Story,Average,2007,Typical,1660,1660,0,2,0,3,1,1,-93.641651,42.052173,256000
1051,82,9020,OneFam,SLvl,Average,1964,Typical,1248,1350,0,1,1,3,1,0,-93.626171,42.041811,168500
27,21,1680,Twnhs,Two_Story,Average,1971,Typical,483,483,504,1,1,2,1,0,-93.627271,42.051835,96000
390,96,13262,OneFam,Two_Story,Average,2003,Typical,1082,1105,1295,3,1,4,1,1,-93.6545189,42.058886,290000
1479,60,7313,Twnhs,One_Story,Average,2005,Typical,1561,1561,0,2,0,2,1,1,-93.652565,42.057124,277500
774,75,7950,OneFam,Two_Story,Above_Average,1977,Typical,690,698,728,1,1,3,1,0,-93.6755239,42.0186549,159500
1481,65,10237,OneFam,Two_Story,Average,2005,Typical,768,768,768,2,1,3,1,1,-93.646429,42.063381,176000
400,48,6240,Twnhs,One_Story,Average,2006,Typical,1324,1324,0,2,0,2,1,1,-93.6514849,42.056983,254000
1408,0,9556,OneFam,One_Story,Average,1992,Typical,1168,1187,0,2,0,3,1,0,-93.637848,42.059293,160000
1385,100,21750,OneFam,One_Story,Average,1954,Typical,988,988,0,1,0,2,1,0,-93.610109,41.988675,113000
1171,60,6324,OneFam,One_Story,Above_Average,1927,Typical,520,520,0,1,0,1,1,0,-93.624471,42.030388,68500
322,0,9248,OneFam,One_Story,Above_Average,1992,Typical,1158,1167,0,2,0,3,1,0,-93.636047,42.057854,173000
1566,94,17778,OneFam,One_Story,Average,1981,Typical,2461,2497,0,2,0,2,1,2,-93.658232,42.037103,373000
1455,24,1920,Twnhs,Two_Story,Average,1971,Typical,765,765,600,1,1,2,1,0,-93.627242,42.051833,122500
1950,0,11027,OneFam,One_Story,Average,1954,Typical,1178,1293,0,2,0,2,1,0,-93.618462,42.053406,149900
2065,0,8638,OneFam,One_Story,Above_Average,1963,Typical,925,925,0,1,0,2,1,0,-93.672411,42.035841,133500
805,80,13360,OneFam,One_Story,Good,1921,Good,876,964,0,1,0,2,1,0,-93.640592,42.017574,163500
992,50,8012,Twnhs,One_Story,Average,1993,Typical,1604,1617,0,2,0,2,1,1,-93.686428,42.036501,193000
1036,0,13355,OneFam,Two_Story,Above_Average,1971,Typical,825,845,825,1,1,4,1,0,-93.629079,42.044262,170000
311,61,7380,OneFam,One_Story,Average,1998,Typical,1418,1478,0,2,0,2,1,0,-93.633547,42.061633,240000
2131,0,12700,OneFam,SLvl,Average,1964,Typical,1246,1246,0,1,0,3,1,2,-93.616852,42.049031,172000
1079,75,10425,OneFam,One_Story,Average,1956,Typical,1104,1104,0,1,0,3,1,0,-93.613383,42.042304,133000
798,52,6292,OneFam,One_and_Half_Fin,Good,1928,Typical,861,877,600,2,0,3,1,1,-93.648419,42.016835,145000
1944,54,7244,OneFam,SFoyer,Good,1970,Good,768,768,0,1,0,2,1,0,-93.6015199,41.991371,129500
2373,61,8534,OneFam,One_Story,Below_Average,1925,Typical,432,672,0,1,0,2,1,0,-93.628298,42.020441,72000
469,67,10083,OneFam,One_Story,Average,2003,Typical,1176,1200,0,2,0,2,1,0,-93.691707,42.035282,184900
260,78,15600,Duplex,Two_Story,Above_Average,1950,Good,1032,1102,1075,2,1,5,2,0,-93.639781,42.014937,215000
2246,75,11235,OneFam,One_Story,Average,1963,Typical,1051,1382,0,1,1,3,1,1,-93.67555,42.033521,148000
109,0,14112,OneFam,SLvl,Good,1964,Typical,1152,1152,0,1,0,3,1,1,-93.627809,42.041146,180500
669,70,12886,OneFam,SLvl,Above_Average,1963,Typical,520,1464,0,2,0,3,1,1,-93.669839,42.033376,175000
1712,51,6120,OneFam,One_and_Half_Unf,Very_Good,1929,Typical,832,854,0,1,0,2,1,0,-93.6224,42.031321,132000
536,90,9900,OneFam,One_Story,Average,1967,Typical,1680,1691,0,1,0,2,1,0,-93.62568,42.036182,175000
2175,60,7200,OneFam,One_Story,Average,1950,Typical,0,1040,0,1,0,2,1,0,-93.608904,42.036099,109900
2215,90,22950,OneFam,Two_and_Half_Fin,Excellent,1892,Good,1107,1518,1518,2,1,4,1,2,-93.610438,42.029025,475000
181,76,7630,TwoFmCon,Two_Story,Excellent,1900,Good,360,1032,780,2,0,4,2,1,-93.620386,42.026741,140000
2046,0,12585,OneFam,Two_Story,Average,1993,Typical,1286,1565,1234,2,1,3,1,1,-93.653479,42.049528,315000
2398,42,3964,Twnhs,Two_Story,Below_Average,1973,Typical,942,1291,1230,2,1,5,1,1,-93.603518,41.991731,151400
1298,0,9638,OneFam,SLvl,Above_Average,1977,Typical,1029,1117,0,1,0,3,1,1,-93.675294,42.018852,147000
2164,83,10184,OneFam,SLvl,Average,1963,Typical,1083,1146,0,1,0,3,1,1,-93.607582,42.040105,165000
1319,51,9842,OneFam,Two_Story,Above_Average,1921,Typical,612,990,1611,3,1,4,1,0,-93.646748,42.019092,189000
1473,34,3903,Twnhs,One_Story,Average,2005,Typical,1302,1302,0,1,1,1,1,1,-93.649808,42.059176,200000
1778,103,13125,OneFam,Two_Story,Average,1991,Typical,1104,912,1215,2,1,4,1,1,-93.683309,42.032467,238000
2115,85,9350,OneFam,Two_Story,Above_Average,1964,Typical,720,720,720,1,1,4,1,1,-93.6282949,42.0414084,157500
1818,0,9375,OneFam,Two_Story,Average,2002,Typical,1284,1284,885,2,1,3,1,1,-93.686575,42.018424,228500
1751,99,16779,OneFam,Two_Story,Below_Average,1920,Fair,671,1567,1087,3,0,4,1,1,-93.662239,42.034421,158000
49,0,9505,OneFam,Two_Story,Average,2001,Typical,884,884,1151,2,1,3,1,1,-93.641337,42.057103,222500
1191,80,17120,OneFam,One_and_Half_Fin,Below_Average,1959,Typical,0,1120,468,2,0,4,1,1,-93.657031,42.031281,134432
889,78,12090,OneFam,One_Story,Above_Average,1981,Good,1422,1422,0,2,0,3,1,1,-93.637825,42.054562,175500
698,66,19255,OneFam,SLvl,Average,1983,Typical,520,1338,0,1,1,2,1,1,-93.685733,42.033714,156500
1498,89,10557,OneFam,Two_Story,Average,1998,Typical,1408,1671,1407,2,1,4,1,1,-93.652641,42.05359,410000
1523,65,7441,OneFam,One_Story,Average,2006,Typical,1461,1486,0,2,0,3,1,0,-93.691244,42.03722,181000
1401,57,8773,OneFam,Two_Story,Average,1997,Typical,916,916,684,2,1,3,1,1,-93.636972,42.061326,169000
1014,24,2160,Twnhs,SLvl,Average,1999,Typical,672,684,720,2,1,3,1,0,-93.643729,42.046962,170000
891,56,18559,OneFam,One_Story,Average,1978,Good,2048,2064,0,2,0,3,1,2,-93.636511,42.055358,235000
2066,0,13052,OneFam,One_Story,Above_Average,1965,Typical,1024,1024,0,1,1,3,1,0,-93.670919,42.035325,120875
1460,105,15431,OneFam,One_Story,Average,2005,Typical,1994,2046,0,2,1,2,1,2,-93.657967,42.061284,450000
1341,60,6000,OneFam,One_and_Half_Fin,Very_Good,1940,Typical,720,760,330,1,0,3,1,0,-93.627459,42.021806,120000
1804,68,9543,OneFam,Two_Story,Average,2001,Typical,845,845,845,2,1,3,1,0,-93.689344,42.016896,190550
1741,70,8400,OneFam,SFoyer,Average,1966,Typical,814,913,0,1,0,3,1,0,-93.677504,42.032098,129000
2012,131,14828,OneFam,One_Story,Average,2004,Typical,1780,1780,0,2,0,2,1,1,-93.655461,42.059825,378000
1952,0,11765,OneFam,One_Story,Average,1957,Typical,1617,1797,0,1,1,3,1,1,-93.6192621,42.0531078,169000
1962,68,13108,OneFam,Two_Story,Average,1994,Typical,2062,2079,608,2,1,4,1,0,-93.631604,42.060625,270000
448,76,9139,OneFam,One_Story,Average,2006,Typical,1422,1432,0,2,0,3,1,1,-93.64236,42.053212,245000
1273,96,11690,OneFam,Two_Story,Average,1999,Typical,850,886,878,2,1,3,1,1,-93.683856,42.016709,207000
1602,0,14585,OneFam,One_Story,Above_Average,1960,Typical,1144,1429,0,1,0,3,1,2,-93.624484,42.04074,181900
672,65,7800,OneFam,One_Story,Good,1967,Typical,864,899,0,1,0,3,1,0,-93.677991,42.029863,130000
509,0,17871,OneFam,SLvl,Average,1967,Typical,1680,1724,0,1,1,3,1,1,-93.631851,42.046476,197900
745,60,7200,OneFam,One_Story,Average,1972,Typical,894,894,0,1,0,2,1,0,-93.683159,42.020991,123000
1733,138,18030,OneFam,One_and_Half_Fin,Above_Average,1946,Typical,1598,1636,971,3,0,3,1,1,-93.656124,42.033285,200500
1024,0,7500,OneFam,Two_Story,Average,2002,Typical,952,952,860,2,1,3,1,1,-93.6392251,42.048726,205000
1438,70,10500,OneFam,SLvl,Good,1971,Typical,372,576,533,1,0,3,1,0,-93.627736,42.055392,139000
2222,65,7800,TwoFmCon,One_and_Half_Fin,Good,1939,Typical,793,793,325,1,0,3,1,1,-93.620433,42.033369,119900
2288,0,21453,OneFam,SLvl,Average,1969,Typical,938,988,0,1,0,1,1,2,-93.682095,42.025573,180000
1364,74,11563,OneFam,One_Story,Average,2006,Typical,1518,1537,0,2,0,3,1,0,-93.653122,41.995141,294000
735,79,12420,OneFam,Two_Story,Average,2001,Typical,944,944,896,2,1,3,1,0,-93.689438,42.01571,230000
854,62,7706,OneFam,SLvl,Average,1993,Good,384,1091,0,1,0,2,1,0,-93.606688,41.987535,131250
383,102,13514,OneFam,One_Story,Average,2008,Typical,1774,1808,0,2,0,3,1,1,-93.652084,42.061678,324000
2368,80,12984,OneFam,One_Story,Above_Average,1977,Typical,1430,1647,0,2,0,3,1,1,-93.644203,42.013495,217500
773,64,7301,OneFam,SFoyer,Average,2003,Typical,0,495,1427,3,0,4,1,1,-93.672234,42.018988,198500
976,63,7500,OneFam,One_Story,Average,2004,Typical,1080,1080,0,1,0,3,1,0,-93.692497,42.037836,141000
266,100,15602,OneFam,One_Story,Very_Good,1959,Typical,1501,1801,0,2,0,1,1,2,-93.641677,42.010797,289000
1467,99,12099,OneFam,Two_Story,Average,2004,Typical,1136,1136,1332,2,1,4,1,1,-93.6565389,42.059677,354000
2324,37,4435,Twnhs,One_Story,Average,2004,Typical,848,848,0,1,0,1,1,1,-93.683728,42.016252,155900
1424,61,11339,OneFam,Two_Story,Average,1979,Typical,780,1085,845,2,1,4,1,1,-93.634665,42.054941,192000
1574,80,9547,OneFam,One_Story,Above_Average,1993,Typical,1594,1594,0,2,0,2,1,1,-93.638051,42.043363,188500
2114,0,10368,OneFam,One_Story,Above_Average,1964,Typical,1008,1488,0,1,1,3,1,1,-93.627065,42.04102,167000
1757,0,115149,OneFam,One_Story,Average,1971,Typical,1643,1824,0,2,0,2,1,2,-93.676272,42.02868,302000
1259,60,7200,OneFam,One_Story,Good,1972,Typical,780,780,0,1,0,2,1,0,-93.683309,42.020991,124900
921,85,10574,OneFam,Two_Story,Average,2004,Typical,1148,1170,1162,2,1,4,1,1,-93.654443,42.0599011,316000
134,65,7898,OneFam,One_Story,Good,1920,Typical,576,985,0,1,0,2,1,0,-93.615475,42.038443,105000
1924,88,12665,OneFam,Two_Story,Average,2005,Typical,1094,1133,1349,2,1,4,1,1,-93.647569,41.993261,281213
2391,85,14331,OneFam,One_Story,Average,2002,Typical,1800,1800,0,2,0,3,1,1,-93.646758,41.994347,312500
232,80,10389,OneFam,One_Story,Average,2003,Typical,1978,1978,0,2,1,3,1,1,-93.687859,42.018662,318000
1803,43,12352,OneFam,Two_Story,Average,1998,Typical,853,853,900,2,1,3,1,1,-93.68892,42.017826,217000
189,72,10773,Duplex,One_Story,Fair,1967,Fair,1832,1832,0,2,0,4,2,0,-93.671021,42.033386,136000
1942,68,8286,OneFam,Two_Story,Good,1977,Typical,716,716,716,1,1,3,1,1,-93.604524,41.989488,157000
1925,200,43500,OneFam,One_Story,Average,1953,Typical,0,2034,0,1,0,2,1,0,-93.610118,41.992318,130000
280,85,14191,OneFam,Two_Story,Average,2002,Typical,967,993,915,2,1,4,1,0,-93.646814,41.99435,202900
1515,75,8778,OneFam,Two_Story,Average,2006,Typical,1302,1302,528,2,1,3,1,0,-93.642275,42.053067,221300
550,70,8400,OneFam,One_Story,Fair,1957,Typical,1478,1478,0,1,1,3,1,2,-93.61864,42.044125,156500
478,70,9109,OneFam,Two_Story,Average,1994,Typical,754,754,786,2,1,3,1,0,-93.687804,42.037607,184000
1258,60,7180,OneFam,One_Story,Good,1972,Typical,864,864,0,1,0,3,1,0,-93.683158,42.020796,127000
105,0,9790,OneFam,One_Story,Average,1963,Typical,1328,1328,0,1,1,3,1,2,-93.625926,42.042205,143000
1987,78,10140,OneFam,One_Story,Above_Average,1974,Typical,1040,1309,0,1,1,3,1,1,-93.630289,42.04977,181000
2393,78,7020,Duplex,SFoyer,Average,1997,Good,1288,1368,0,2,0,2,2,0,-93.608343,41.99329,215000
150,56,4485,OneFam,One_Story,Good,1920,Typical,936,936,0,1,0,2,1,1,-93.62024,42.031363,109500
458,65,8125,OneFam,Two_Story,Average,2006,Typical,1092,1112,438,2,0,2,1,0,-93.642474,42.05142,241000
78,0,6897,OneFam,One_Story,Very_Good,1962,Good,1040,1040,0,1,1,3,1,0,-93.669688,42.035333,127000
1668,69,7590,OneFam,Two_Story,Average,1962,Typical,864,876,936,2,0,4,1,1,-93.603701,42.035423,169500
1039,0,9130,OneFam,Two_Story,Very_Good,1966,Typical,800,800,832,1,1,4,1,0,-93.625925,42.043142,173000
752,0,11050,OneFam,Two_Story,Average,2000,Typical,1440,1476,677,2,1,3,1,2,-93.682983,42.018703,313000
965,75,11957,OneFam,One_Story,Average,2006,Typical,1574,1574,0,2,0,3,1,1,-93.642334,42.055102,232000
844,32,4500,Twnhs,One_Story,Average,1998,Typical,1204,1204,0,2,0,2,1,0,-93.608196,41.993128,162000
2149,80,13600,OneFam,One_Story,Above_Average,1955,Typical,1056,1056,0,1,1,3,1,0,-93.6136767,42.0383475,125000
578,90,5400,OneFam,One_Story,Average,1940,Typical,416,599,0,1,0,2,1,0,-93.6117397,42.0347572,59000
73,68,8930,Duplex,One_and_Half_Fin,Average,1978,Typical,0,1318,584,2,0,4,2,0,-93.677205,42.036535,112000
442,0,11692,OneFam,Two_Story,Average,1993,Typical,1173,1215,1017,2,1,3,1,1,-93.652117,42.050215,263550
1255,0,10970,OneFam,SLvl,Above_Average,1978,Typical,940,1026,0,1,0,3,1,0,-93.685158,42.019769,147000
1923,50,35133,OneFam,One_Story,Below_Average,1963,Typical,1572,1572,0,1,1,3,1,2,-93.662162,41.997352,186700
514,70,8400,OneFam,Two_Story,Above_Average,2001,Typical,810,810,855,2,1,3,1,0,-93.631899,42.044693,227000
209,50,9350,OneFam,One_and_Half_Fin,Above_Average,1947,Typical,756,1169,0,1,0,3,1,1,-93.66526,42.025173,127000
2178,0,8544,Duplex,One_Story,Below_Average,1949,Typical,0,1040,0,2,0,2,2,0,-93.609053,42.03471,87500
871,57,21872,OneFam,Two_Story,Average,1996,Typical,729,729,717,2,1,3,1,1,-93.636948,42.0623,175000
373,96,11308,OneFam,Two_Story,Average,2008,Typical,1104,1130,1054,2,1,3,1,1,-93.652863,42.062942,335000
