Year,Month,Day,Latitude,Longitude,Magnitude
2008,9,6,36.603,28.416,5.0
2009,1,27,36.177,29.073,4.7
2009,2,28,35.781,28.668,5.4
2010,1,3,36.795,28.896,4.4
2010,2,7,36.294,29.275,6.0
2010,7,9,35.866,28.468,6.1
2010,11,4,36.374,28.449,5.1
2011,4,4,36.178,28.361,5.9
2011,5,7,35.562,28.897,6.1
2011,5,23,36.304,28.511,4.8
2011,11,20,36.581,29.404,5.5
2013,9,14,36.037,28.824,4.9
2014,7,14,36.376,29.255,5.2
2014,7,20,35.599,28.376,5.6
2015,1,6,35.989,29.269,4.7
2015,2,23,36.403,28.471,5.9
2015,3,15,36.068,29.093,5.1
2015,4,3,36.129,28.601,5.7
2015,6,11,35.743,28.783,4.5
2015,9,10,36.038,28.743,5.7
2015,10,7,35.564,29.372,5.1
2015,10,12,35.668,29.387,5.8
2016,5,1,36.221,29.09,4.9
2016,9,12,36.392,29.102,4.7
2017,1,17,35.688,28.615,5.8
2017,2,19,36.687,28.394,4.5
2017,3,23,36.354,29.273,5.7
2018,9,6,36.194,28.684,4.6
2019,7,2,36.227,28.685,5.6
2019,10,10,36.412,28.907,4.4
2019,11,9,36.361,28.47,5.7
2019,12,21,35.839,28.598,5.6
2020,1,22,36.281,28.769,6.6
2020,9,5,36.439,28.764,6.0
2020,9,12,36.502,29.455,5.1
2020,12,13,35.505,29.227,4.3
2021,3,25,36.174,28.818,5.0
2021,4,17,35.512,29.365,5.0
2022,4,25,36.38,29.252,4.7
2022,5,9,36.409,28.984,5.1
2022,10,16,36.09,28.943,5.6
2023,4,5,36.571,28.908,5.8
2023,12,8,36.1,28.63,6.1
2024,3,19,36.376,29.496,4.9
2024,7,21,35.541,28.383,5.2
2024,12,6,36.517,28.699,4.4
